crawled_datetime,url,product_name,title,price,price_changed_flag
20201129_102215,https://www.amazon.com/Kindle-Now-with-Built-in-Front-Light/dp/B07978J597,Kindle Reader,Kindle - Now with a Built-in Front Light - Black - Ad-Supported,59.99,0
20201129_102218,https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/dp/B07PXGQC1Q,Airpods,Apple AirPods with Charging Case (Wired),109.99,0
20201129_102220,https://www.amazon.com/dp/B08J5MK16F/ref=fs_a_wt2_us1?th=1,Apple Watch Series 6,"New Apple Watch Series 6 (GPS, 44mm) - (PRODUCT)RED - Aluminum Case with (PRODUCT)RED﻿ - Sport Band",409.0,0
20201129_102256,https://www.amazon.com/Kindle-Now-with-Built-in-Front-Light/dp/B07978J597,Kindle Reader,Kindle - Now with a Built-in Front Light - Black - Ad-Supported,59.99,0
20201129_102259,https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/dp/B07PXGQC1Q,Airpods,Apple AirPods with Charging Case (Wired),109.99,0
20201129_102303,https://www.amazon.com/dp/B08J5MK16F/ref=fs_a_wt2_us1?th=1,Apple Watch Series 6,"New Apple Watch Series 6 (GPS, 44mm) - (PRODUCT)RED - Aluminum Case with (PRODUCT)RED﻿ - Sport Band",409.0,0
20201129_103121,https://www.amazon.com/Kindle-Now-with-Built-in-Front-Light/dp/B07978J597,Kindle Reader,Kindle - Now with a Built-in Front Light - Black - Ad-Supported,59.99,0
20201129_103125,https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/dp/B07PXGQC1Q,Airpods,Apple AirPods with Charging Case (Wired),109.99,0
20201129_103130,https://www.amazon.com/dp/B08J5MK16F/ref=fs_a_wt2_us1?th=1,Apple Watch Series 6,"New Apple Watch Series 6 (GPS, 44mm) - (PRODUCT)RED - Aluminum Case with (PRODUCT)RED﻿ - Sport Band",409.0,0
20201129_104747,https://www.amazon.com/Kindle-Now-with-Built-in-Front-Light/dp/B07978J597,Kindle Reader,Kindle - Now with a Built-in Front Light - Black - Ad-Supported,59.99,0
20201129_104752,https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/dp/B07PXGQC1Q,Airpods,Apple AirPods with Charging Case (Wired),109.99,0
20201129_104754,https://www.amazon.com/dp/B08J5MK16F/ref=fs_a_wt2_us1?th=1,Apple Watch Series 6,"New Apple Watch Series 6 (GPS, 44mm) - (PRODUCT)RED - Aluminum Case with (PRODUCT)RED﻿ - Sport Band",409.0,0
20201129_104826,https://www.amazon.com/Kindle-Now-with-Built-in-Front-Light/dp/B07978J597,Kindle Reader,Kindle - Now with a Built-in Front Light - Black - Ad-Supported,59.99,0
20201129_104831,https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/dp/B07PXGQC1Q,Airpods,Apple AirPods with Charging Case (Wired),109.99,0
20201129_104834,https://www.amazon.com/dp/B08J5MK16F/ref=fs_a_wt2_us1?th=1,Apple Watch Series 6,"New Apple Watch Series 6 (GPS, 44mm) - (PRODUCT)RED - Aluminum Case with (PRODUCT)RED﻿ - Sport Band",409.0,0
20201129_104951,https://www.amazon.com/Kindle-Now-with-Built-in-Front-Light/dp/B07978J597,Kindle Reader,Kindle - Now with a Built-in Front Light - Black - Ad-Supported,59.99,0
20201129_104958,https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/dp/B07PXGQC1Q,Airpods,Apple AirPods with Charging Case (Wired),109.99,0
20201129_105001,https://www.amazon.com/dp/B08J5MK16F/ref=fs_a_wt2_us1?th=1,Apple Watch Series 6,"New Apple Watch Series 6 (GPS, 44mm) - (PRODUCT)RED - Aluminum Case with (PRODUCT)RED﻿ - Sport Band",409.0,0
20201201_145012,https://www.amazon.com/Kindle-Now-with-Built-in-Front-Light/dp/B07978J597,Kindle Reader,Kindle - Now with a Built-in Front Light - Black - Ad-Supported,89.99,1
20201201_145017,https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/dp/B07PXGQC1Q,Airpods,Apple AirPods with Charging Case (Wired),Not Found,1
20201201_145021,https://www.amazon.com/dp/B08J5MK16F/ref=fs_a_wt2_us1?th=1,Apple Watch Series 6,"New Apple Watch Series 6 (GPS, 44mm) - (PRODUCT)RED - Aluminum Case with (PRODUCT)RED﻿ - Sport Band",409.0,0
20201202_092741,https://www.amazon.com/Kindle-Now-with-Built-in-Front-Light/dp/B07978J597,Kindle Reader,Kindle - Now with a Built-in Front Light - Black - Ad-Supported,89.99,1
20201202_092748,https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/dp/B07PXGQC1Q,Airpods,Apple AirPods with Charging Case (Wired),Not Found,0
20201202_092752,https://www.amazon.com/dp/B08J5MK16F/ref=fs_a_wt2_us1?th=1,Apple Watch Series 6,"New Apple Watch Series 6 (GPS, 44mm) - Space Gray Aluminum Case with Black Sport Band",409.0,1
20201202_095628,https://www.amazon.com/Kindle-Now-with-Built-in-Front-Light/dp/B07978J597,Kindle Reader,Kindle - Now with a Built-in Front Light - Black - Ad-Supported,89.99,1
20201202_095633,https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/dp/B07PXGQC1Q,Airpods,Apple AirPods with Charging Case (Wired),Not Found,0
20201202_095636,https://www.amazon.com/dp/B08J5MK16F/ref=fs_a_wt2_us1?th=1,Apple Watch Series 6,"New Apple Watch Series 6 (GPS, 44mm) - Space Gray Aluminum Case with Black Sport Band",414.0,1
20201205_114600,https://www.amazon.com/Kindle-Now-with-Built-in-Front-Light/dp/B07978J597,Kindle Reader,"Kindle - Now with a Built-in Front Light - Black - Ad-Supported (2019 release, 9th Gen)",89.99,1
20201205_114603,https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/dp/B07PXGQC1Q,Airpods,Apple AirPods with Charging Case (Wired),128.98,0
20201205_114607,https://www.amazon.com/dp/B08J5MK16F/ref=fs_a_wt2_us1?th=1,Apple Watch Series 6,"New Apple Watch Series 6 (GPS, 44mm) - Space Gray Aluminum Case with Black Sport Band",414.0,1
20201205_114610,https://www.amazon.com/Bose-SoundLink-Micro-Bluetooth-speaker/dp/B0748N1BZD,Bose SoundLink Micro,"Bose SoundLink Micro, Portable Outdoor Speaker, (Wireless Bluetooth Connectivity), Black",99.0,0
20201205_114612,https://www.amazon.com/Bose-SoundLink-Color-Bluetooth-speaker/dp/B01HETFPTU,Bose SoundLink Color,Bose SoundLink Color Bluetooth Speaker II - Coral Red,129.0,0
20201205_114704,https://www.amazon.com/Kindle-Now-with-Built-in-Front-Light/dp/B07978J597,Kindle Reader,"Kindle - Now with a Built-in Front Light - Black - Ad-Supported (2019 release, 9th Gen)",89.99,1
